Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
Nippon India Education Children's Fund Plan - Direct Plan - IDCW,Nippon India Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,3,9.79,9.4,12.82,0.52,637.37,1161.09,5.9,100,5000,Sailesh Raj Bhan,GARP
Motilal Oswal Regular Savings Conservative Hybrid Plan - Direct Plan - IDCW,Motilal Oswal Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,2,4.37,9.28,9.01,1.12,510.01,4219.06,15.8,1000,10000,Rohit Singhania,Blend
HDFC High Yield Credit Risk Scheme - Regular Plan - IDCW,HDFC Mutual Fund,Debt,Credit Risk,High Yield,Moderate,3,12.12,5.37,2.14,1.03,644.43,857.95,6.9,500,5000,Pranav Gokhale,Growth
Mahindra Manulife 10Y Gilt Long Duration Scheme - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,1,9.6,5.44,6.08,1.07,716.49,7826.67,16.7,2500,10000,Manish Gunwani,Growth
Union Tax Saver ELSS Plan - Regular Plan - IDCW,Union Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,4,28.79,22.26,21.43,0.97,315.64,4011.33,13.3,2000,5000,R. Srinivasan,Growth
IDFC Focused Large Cap Plan - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Large Cap,Focused,Moderately High,5,17.88,17.97,18.85,0.84,493.58,495.15,29.1,500,5000,Roshi Jain,Growth
Axis Equity Arbitrage Arbitrage Scheme - Regular Plan - IDCW,Axis Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,-0.31,5.34,1.77,0.33,44.09,1268.19,27.1,500,1000,Swarup Mohanty,GARP
HDFC Overnight Liquid Plan - Regular Plan - Growth,HDFC Mutual Fund,Debt,Liquid,Overnight,Low,2,11.05,5.8,8.72,0.45,774.07,2748.85,21.8,2000,5000,Varun Goel,Value
ICICI Prudential Opportunities Mid Cap Scheme - Direct Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,5,30.03,27.04,,1.0,471.25,968.42,0.9,500,5000,Neelesh Surana,Value
L&T Growth Mid Cap Plan - Regular Plan - IDCW,L&T Mutual Fund,Equity,Mid Cap,Growth,Moderately High,4,11.91,11.56,14.73,0.73,425.73,689.62,15.6,1000,1000,Sankaran Naren,Index
Quant Tax Saver ELSS Fund - Direct Plan - IDCW,Quant Mutual Fund,Equity,ELSS,Tax Saver,High,4,13.42,20.92,,1.32,476.39,763.59,1.4,1500,500,Amit Ganatra,Active
Bandhan Overnight Liquid Plan - Direct Plan - IDCW,Bandhan Mutual Fund,Debt,Liquid,Overnight,Low,3,9.91,6.35,,0.34,540.42,2493.12,19.2,1000,1000,Niket Shah,Value
Bandhan Ultra Short Liquid Plan - Direct Plan - IDCW,Bandhan Mutual Fund,Debt,Liquid,Ultra Short,Low,2,8.83,,4.51,0.25,718.47,3256.43,1.0,2500,5000,Gopal Agrawal,Passive
Invesco Overnight Liquid Scheme - Direct Plan - IDCW,Invesco Mutual Fund,Debt,Liquid,Overnight,Low,3,10.12,6.82,11.76,0.38,35.22,484.99,13.7,1000,5000,S. Nagnath,Value
DSP Value Thematic Plan - Direct Plan - IDCW,DSP Mutual Fund,Equity,Thematic,Value,High,4,11.15,12.25,11.04,1.54,652.02,3784.92,9.3,1000,5000,Amit Ganatra,Value
SBI Value Thematic Scheme - Regular Plan - IDCW,SBI Mutual Fund,Equity,Thematic,Value,High,5,25.74,23.01,27.02,0.43,683.61,36299.29,3.2,100,5000,Jinesh Gopani,Growth
Invesco Emerging Small Cap Scheme - Direct Plan - Growth,Invesco Mutual Fund,Equity,Small Cap,Emerging,High,3,10.16,14.09,14.13,1.88,597.07,2010.04,17.9,500,25000,Amit Ganatra,Value
Canara Robeco Corporate Credit Risk Scheme - Regular Plan - Growth,Canara Robeco Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,15.12,7.56,,0.75,190.23,2283.05,0.7,500,25000,Swarup Mohanty,Active
Kotak Mahindra Equity Arbitrage Arbitrage Plan - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,9.41,6.82,2.51,0.49,748.82,39218.22,25.9,500,5000,Nimesh Chandan,Active
Baroda BNP Paribas MNC Thematic Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Thematic,MNC,High,2,8.43,9.24,,1.63,773.42,473.18,27.0,1500,1000,Gopal Agrawal,Income
HSBC Emerging Small Cap Fund - Direct Plan - Growth,HSBC Mutual Fund,Equity,Small Cap,Emerging,High,4,45.74,43.11,47.53,0.84,40.23,843.0,14.9,1500,10000,Ankit Agarwal,GARP
Invesco Overnight Liquid Plan - Regular Plan - Growth,Invesco Mutual Fund,Debt,Liquid,Overnight,Low,1,11.65,4.33,7.56,0.36,136.98,4289.52,13.0,500,1000,Rajeev Thakkar,Blend
Invesco Senior Citizen Retirement Fund - Direct Plan - Growth,Invesco Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,3,3.95,7.67,3.3,1.27,500.43,4482.14,9.8,2500,500,Amit Ganatra,Active
Edelweiss Focused Large Cap Fund - Direct Plan - IDCW,Edelweiss Mutual Fund,Equity,Large Cap,Focused,Moderate,3,3.47,8.8,8.33,0.67,213.11,1169.74,22.0,1000,10000,Nimesh Chandan,Blend
Union Discovery Mid Cap Scheme - Regular Plan - IDCW,Union Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,18.8,19.13,15.99,0.59,697.28,5438.19,28.2,2000,10000,Niket Shah,Passive
Bandhan Dynamic Multi Cap Plan - Regular Plan - Growth,Bandhan Mutual Fund,Equity,Multi Cap,Dynamic,High,3,23.01,15.68,11.51,1.43,778.0,1056.54,5.3,500,5000,Jinesh Gopani,Value
Motilal Oswal Contra Thematic Plan - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Thematic,Contra,Moderately High,4,35.61,29.02,30.1,1.78,594.03,2036.45,20.0,5000,5000,Roshi Jain,GARP
UTI Equity Arbitrage Arbitrage Fund - Regular Plan - Growth,UTI Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,7.28,6.74,4.11,0.8,382.96,4409.29,21.1,100,5000,Chirag Setalvad,Growth
Kotak Mahindra Education Children's Fund Scheme - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,2,11.21,8.82,6.26,1.39,86.8,425.95,19.9,2500,10000,Ajay Tyagi,Active
Canara Robeco Multi Asset Dynamic Asset Allocation Plan - Direct Plan - Growth,Canara Robeco Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderate,2,17.53,10.26,13.77,0.81,13.97,226.48,26.8,1500,10000,Gopal Agrawal,Growth
DSP Nifty 100 Index Fund Fund - Direct Plan - Growth,DSP Mutual Fund,Other,Index Fund,Nifty 100,Moderate,3,8.53,8.99,9.47,0.14,306.98,252.99,9.9,100,5000,R. Srinivasan,Value
Franklin Templeton Overnight Liquid Plan - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Debt,Liquid,Overnight,Low,1,8.9,5.64,2.01,0.43,545.41,906.21,26.9,5000,5000,Kalpen Parekh,Income
Bank of India Multi Asset Dynamic Asset Allocation Fund - Direct Plan - IDCW,Bank of India Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderate,2,9.36,11.26,15.59,1.4,743.17,4744.52,24.0,1500,500,Vetri Subramaniam,Active
Quantum Banking & PSU Medium Duration Fund - Regular Plan - IDCW,Quantum Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,3,2.12,5.46,10.15,0.52,81.86,5100.84,8.9,1000,5000,Rajeev Thakkar,Blend
Parag Parikh Energy Sectoral Scheme - Direct Plan - Growth,Parag Parikh Mutual Fund,Equity,Sectoral,Energy,Very High,4,12.17,19.82,22.71,1.13,684.18,4287.27,24.2,1000,5000,Rajeev Thakkar,Value
Franklin Templeton Corporate Credit Risk Plan - Direct Plan - Growth,Franklin Templeton Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,7.21,6.95,6.4,0.84,679.72,7400.96,3.6,1000,5000,S. Nagnath,Active
Kotak Mahindra Tax Advantage ELSS Plan - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity,ELSS,Tax Advantage,High,3,30.9,29.5,29.6,1.28,178.49,997.6,21.7,5000,10000,Vetri Subramaniam,Active
Axis Value Thematic Fund - Regular Plan - IDCW,Axis Mutual Fund,Equity,Thematic,Value,Moderately High,4,21.61,20.48,24.62,1.35,116.55,306.7,6.5,1000,25000,Sohini Andani,GARP
Quant MNC Thematic Plan - Regular Plan - Growth,Quant Mutual Fund,Equity,Thematic,MNC,High,3,12.21,18.86,,2.08,578.05,1375.85,2.8,100,1000,Sohini Andani,Value
Nippon India Index Large Cap Plan - Regular Plan - Growth,Nippon India Mutual Fund,Equity,Large Cap,Index,Moderate,4,27.79,21.47,16.8,1.52,452.96,2592.78,22.6,2000,5000,R. Srinivasan,Value
HDFC Balanced Dynamic Asset Allocation Plan - Regular Plan - Growth,HDFC Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,3,11.12,10.25,11.4,0.85,459.64,1195.87,7.5,5000,500,S. Nagnath,Blend
Motilal Oswal Growth Mid Cap Plan - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Mid Cap,Growth,High,3,23.18,19.35,23.51,1.13,517.12,9510.63,23.9,2000,5000,Chirag Setalvad,Active
Mahindra Manulife Focused Large Cap Fund - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Large Cap,Focused,Moderately High,4,25.95,18.58,14.48,1.32,770.11,1860.56,9.4,5000,500,Chirag Setalvad,GARP
Bank of India Equity Arbitrage Arbitrage Scheme - Direct Plan - Growth,Bank of India Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,11.68,7.73,5.04,0.47,36.36,1668.59,19.2,1500,5000,Nimesh Chandan,Value
Parag Parikh Discovery Small Cap Plan - Regular Plan - Growth,Parag Parikh Mutual Fund,Equity,Small Cap,Discovery,Very High,3,12.12,8.07,10.34,2.05,586.58,1632.61,24.9,2500,10000,Varun Goel,Growth
Baroda BNP Paribas Regular Savings Conservative Hybrid Scheme - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,2,8.24,9.41,13.43,1.08,323.5,767.71,16.5,500,25000,Niket Shah,Growth
Parag Parikh Growth Mid Cap Scheme - Regular Plan - Growth,Parag Parikh Mutual Fund,Equity,Mid Cap,Growth,High,3,15.97,15.53,12.23,1.68,391.62,539.34,17.4,2000,5000,Ajay Tyagi,Blend
Nippon India MNC Thematic Plan - Direct Plan - Growth,Nippon India Mutual Fund,Equity,Thematic,MNC,High,3,12.32,13.76,16.84,1.79,184.6,138.31,29.7,1000,500,Nimesh Chandan,Blend
Canara Robeco Gold Fund of Funds Scheme - Direct Plan - Growth,Canara Robeco Mutual Fund,Other,Fund of Funds,Gold,Moderately High,4,15.76,12.58,15.59,1.17,562.26,2800.82,28.8,500,10000,Neelesh Surana,Income
Edelweiss Corporate Credit Risk Scheme - Direct Plan - IDCW,Edelweiss Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,14.41,8.82,10.52,1.23,193.46,242.66,15.4,500,5000,Rahul Baijal,Growth
IDFC Overnight Liquid Fund - Regular Plan - IDCW,IDFC Mutual Fund,Debt,Liquid,Overnight,Low,2,8.77,6.99,9.85,0.23,666.58,632.36,18.6,500,25000,Anish Tawakley,Blend
Union Overnight Liquid Plan - Regular Plan - Growth,Union Mutual Fund,Debt,Liquid,Overnight,Low,3,4.96,4.18,5.52,0.34,732.83,499.2,13.1,1000,5000,R. Srinivasan,Passive
Quantum Diversified Multi Cap Fund - Direct Plan - Growth,Quantum Mutual Fund,Equity,Multi Cap,Diversified,Moderately High,2,3.1,8.09,3.13,1.55,345.02,3435.06,9.7,1500,1000,Divam Sharma,Income
UTI Equity Arbitrage Arbitrage Fund - Regular Plan - IDCW,UTI Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,14.93,7.33,8.75,0.57,249.77,394.64,12.6,500,10000,Shreyash Devalkar,Blend
Nippon India Gold Fund of Funds Plan - Regular Plan - IDCW,Nippon India Mutual Fund,Other,Fund of Funds,Gold,Moderate,2,-1.83,3.01,-0.11,1.16,287.17,408.06,14.0,1500,25000,Shreyash Devalkar,Growth
SBI Infrastructure Sectoral Plan - Direct Plan - IDCW,SBI Mutual Fund,Equity,Sectoral,Infrastructure,High,4,11.04,17.39,17.72,0.7,634.08,13467.88,12.8,500,25000,Divam Sharma,Income
Aditya Birla Sun Life Tax Advantage ELSS Scheme - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,ELSS,Tax Advantage,High,2,10.54,10.16,10.31,1.2,594.49,2311.9,25.1,500,5000,Ankit Agarwal,Growth
Union Balanced Advantage Aggressive Hybrid Scheme - Direct Plan - IDCW,Union Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,11.11,9.16,4.96,1.37,310.42,104.03,1.4,100,10000,Varun Goel,Passive
Kotak Mahindra Dynamic Bond Long Duration Fund - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,2,11.08,9.54,14.26,0.42,458.1,6963.42,24.0,1500,1000,Ajay Tyagi,Growth
Edelweiss Corporate Credit Risk Plan - Regular Plan - IDCW,Edelweiss Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,1,6.88,5.55,6.67,1.23,610.88,3131.21,6.9,1500,1000,Nimesh Chandan,GARP
Nippon India Energy Sectoral Scheme - Direct Plan - IDCW,Nippon India Mutual Fund,Equity,Sectoral,Energy,High,4,38.74,31.49,27.28,1.57,255.52,6236.24,7.1,5000,10000,Manish Gunwani,Index
HDFC Corporate Credit Risk Fund - Regular Plan - IDCW,HDFC Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,3,0.8,8.64,11.44,1.32,772.68,1887.22,13.1,100,5000,Chirag Setalvad,Income
Kotak Mahindra Emerging Small Cap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Small Cap,Emerging,High,5,32.15,27.63,22.86,2.15,649.43,175.29,22.7,5000,5000,Kalpen Parekh,Value
Mirae Asset Balanced Advantage Aggressive Hybrid Fund - Regular Plan - IDCW,Mirae Asset Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,16.87,12.84,11.71,1.66,148.36,2129.1,9.9,500,5000,Rajeev Thakkar,Value
Quantum Consumption Sectoral Plan - Regular Plan - Growth,Quantum Mutual Fund,Equity,Sectoral,Consumption,High,4,26.41,20.71,20.94,1.22,204.21,74.92,12.6,500,25000,Swarup Mohanty,Index
Canara Robeco Money Market Short Duration Fund - Direct Plan - IDCW,Canara Robeco Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,0.92,6.98,4.2,0.43,293.44,7535.46,10.1,500,25000,Ashish Kela,Blend
HDFC Corporate Credit Risk Scheme - Direct Plan - Growth,HDFC Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,3,4.45,8.74,10.93,1.05,361.85,538.71,24.4,500,10000,Roshi Jain,Active
DSP Consumption Sectoral Plan - Direct Plan - IDCW,DSP Mutual Fund,Equity,Sectoral,Consumption,Very High,4,36.54,35.56,36.65,2.25,655.53,9578.49,13.3,1000,10000,Ajay Tyagi,Index
PGIM India Corporate Credit Risk Fund - Regular Plan - Growth,PGIM India Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,1,-1.19,5.37,8.66,0.56,142.16,2615.91,24.0,5000,10000,Divam Sharma,Income
Mahindra Manulife Opportunities Mid Cap Plan - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,18.4,17.06,18.01,1.64,408.69,15909.5,15.2,2500,500,Vetri Subramaniam,Blend
SBI Gilt Long Duration Scheme - Regular Plan - IDCW,SBI Mutual Fund,Debt,Long Duration,Gilt,Moderately High,4,7.81,9.39,8.24,0.3,493.83,1226.12,1.4,1000,5000,Manish Gunwani,GARP
PGIM India Banking & PSU Medium Duration Plan - Regular Plan - Growth,PGIM India Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,3,9.02,8.22,5.92,0.85,221.62,3115.94,5.5,1000,5000,Pranav Gokhale,Passive
Sundaram Senior Citizen Retirement Plan - Regular Plan - Growth,Sundaram Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,2,15.84,8.01,,0.69,166.29,9967.65,0.9,100,500,Chandraprakash Padiyar,GARP
Franklin Templeton Multi Asset Dynamic Asset Allocation Fund - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,19.0,14.32,11.89,1.02,530.02,16311.2,19.2,1500,5000,Harsha Upadhyaya,Value
DSP Dividend Yield Thematic Fund - Regular Plan - IDCW,DSP Mutual Fund,Equity,Thematic,Dividend Yield,High,4,29.62,26.09,27.65,0.68,220.25,481.05,12.1,1000,500,Harsha Upadhyaya,Income
Quant Focused Large Cap Fund - Direct Plan - IDCW,Quant Mutual Fund,Equity,Large Cap,Focused,Moderately High,4,17.45,12.56,13.94,1.15,186.95,187.72,6.5,2000,500,Atul Kumar,GARP
Union Growth Mid Cap Fund - Direct Plan - Growth,Union Mutual Fund,Equity,Mid Cap,Growth,High,3,13.09,10.18,7.87,1.7,292.46,2817.56,14.7,500,5000,Sailesh Raj Bhan,Active
HDFC Domestic Fund of Funds Scheme - Direct Plan - Growth,HDFC Mutual Fund,Other,Fund of Funds,Domestic,High,2,10.66,7.12,,0.57,404.79,6728.14,18.9,2500,5000,Rohit Singhania,Index
Motilal Oswal Corporate Bond Medium Duration Fund - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Debt,Medium Duration,Corporate Bond,Low to Moderate,3,3.88,8.12,10.66,0.91,703.87,403.67,23.6,5000,10000,Chandraprakash Padiyar,GARP
DSP Discovery Mid Cap Plan - Regular Plan - Growth,DSP Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,32.62,,,0.66,784.52,5075.53,2.4,1000,10000,Vetri Subramaniam,Growth
Franklin Templeton Equity Arbitrage Arbitrage Scheme - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,9.85,7.1,5.02,0.59,95.46,3765.04,14.4,1000,25000,Taher Badshah,Growth
UTI Consumption Sectoral Fund - Direct Plan - IDCW,UTI Mutual Fund,Equity,Sectoral,Consumption,High,3,9.87,15.27,12.57,0.65,736.56,30.99,16.3,1000,25000,Vinay Sharma,Active
Edelweiss Corporate Bond Medium Duration Plan - Regular Plan - Growth,Edelweiss Mutual Fund,Debt,Medium Duration,Corporate Bond,Low to Moderate,4,3.55,8.69,,0.98,301.98,3134.84,1.2,500,5000,Sankaran Naren,Blend
Bank of India Diversified Multi Cap Scheme - Regular Plan - IDCW,Bank of India Mutual Fund,Equity,Multi Cap,Diversified,Moderate,2,16.42,8.58,6.37,1.88,796.74,583.19,2.9,100,5000,Sailesh Raj Bhan,GARP
L&T Banking & PSU Medium Duration Scheme - Regular Plan - Growth,L&T Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,2,8.32,6.62,6.01,0.95,431.51,1255.22,21.0,500,5000,Ajay Tyagi,Active
HSBC Pension Retirement Scheme - Regular Plan - Growth,HSBC Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,3.15,7.47,3.54,0.55,413.97,347.13,29.5,5000,5000,Pranav Gokhale,Active
Aditya Birla Sun Life Tax Advantage ELSS Scheme - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,3,13.48,19.9,18.08,1.29,757.73,75.38,12.0,500,10000,Gopal Agrawal,Passive
IDFC Opportunities Mid Cap Fund - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Mid Cap,Opportunities,High,3,14.03,19.7,17.0,1.39,61.4,34945.06,12.9,2500,5000,Niket Shah,GARP
JM Financial Diversified Multi Cap Plan - Direct Plan - IDCW,JM Financial Mutual Fund,Equity,Multi Cap,Diversified,High,4,27.55,29.68,32.47,0.92,384.21,359.41,12.0,500,5000,Shreyash Devalkar,Value
Union MNC Thematic Plan - Direct Plan - Growth,Union Mutual Fund,Equity,Thematic,MNC,High,2,3.35,5.59,9.48,1.64,123.17,4270.62,21.2,1000,5000,Taher Badshah,Growth
Baroda BNP Paribas Opportunities Mid Cap Fund - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,28.52,31.7,31.24,1.24,681.6,1504.1,28.0,2000,1000,Rahul Baijal,Growth
HDFC Education Children's Fund Fund - Regular Plan - IDCW,HDFC Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,3,13.84,7.09,,0.69,415.87,42731.13,14.6,1000,25000,Chandraprakash Padiyar,GARP
Bandhan Gift Children's Fund Fund - Direct Plan - Growth,Bandhan Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,3,6.03,9.65,13.86,0.48,490.77,543.38,20.6,2000,10000,Vinay Sharma,Passive
Nippon India 10Y Gilt Long Duration Scheme - Regular Plan - IDCW,Nippon India Mutual Fund,Debt,Long Duration,10Y Gilt,Moderate,3,2.93,8.17,11.7,0.43,325.44,1243.91,20.3,1000,1000,Ashish Kela,Growth
Canara Robeco Education Children's Fund Plan - Direct Plan - Growth,Canara Robeco Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,4,,15.13,19.46,0.93,452.47,335.67,18.1,2500,5000,Dhaval Gada,GARP
SBI MNC Thematic Scheme - Direct Plan - Growth,SBI Mutual Fund,Equity,Thematic,MNC,High,3,22.6,27.64,28.19,1.7,723.95,1135.78,19.5,500,1000,Niket Shah,Active
Mahindra Manulife Focused Large Cap Fund - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Large Cap,Focused,Moderately High,5,23.86,17.36,21.67,1.64,117.59,5119.4,25.6,500,25000,Prashant Jain,Value
Edelweiss Pension Retirement Fund - Direct Plan - IDCW,Edelweiss Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,9.91,9.61,12.4,1.02,794.84,15883.5,23.9,1500,10000,Varun Goel,Growth
UTI High Yield Credit Risk Fund - Regular Plan - IDCW,UTI Mutual Fund,Debt,Credit Risk,High Yield,Moderate,2,10.88,10.14,9.26,0.61,319.58,630.6,22.2,5000,25000,Niket Shah,Income
Quantum Gift Children's Fund Plan - Regular Plan - Growth,Quantum Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,3,7.45,9.77,6.31,1.16,768.47,7484.04,16.8,1000,500,Sankaran Naren,Passive
Franklin Templeton Opportunities Mid Cap Fund - Direct Plan - Growth,Franklin Templeton Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,3,29.87,28.24,29.85,1.84,628.9,11072.12,23.5,2000,10000,Divam Sharma,Value
Mirae Asset Gift Children's Fund Scheme - Regular Plan - Growth,Mirae Asset Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderately High,4,19.19,17.89,13.98,0.91,631.78,1331.64,15.3,2000,500,Sankaran Naren,Value
Bandhan Tax Advantage ELSS Fund - Direct Plan - IDCW,Bandhan Mutual Fund,Equity,ELSS,Tax Advantage,High,3,14.04,10.32,8.53,0.9,524.64,762.21,17.0,100,5000,Amit Ganatra,Income
Union Index Large Cap Fund - Direct Plan - IDCW,Union Mutual Fund,Equity,Large Cap,Index,Moderate,5,17.17,20.83,23.78,0.64,133.8,3162.44,5.9,500,1000,Niket Shah,Passive
Axis Tax Advantage ELSS Plan - Regular Plan - Growth,Axis Mutual Fund,Equity,ELSS,Tax Advantage,High,4,30.87,26.44,24.71,1.49,106.33,4623.37,15.5,2500,1000,Chirag Setalvad,GARP
UTI MNC Thematic Plan - Regular Plan - IDCW,UTI Mutual Fund,Equity,Thematic,MNC,High,4,8.77,15.57,15.32,1.16,359.95,900.75,22.8,1000,10000,Sailesh Raj Bhan,Index
JM Financial Bluechip Large Cap Fund - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,3,20.21,22.3,21.53,1.15,760.94,574.5,3.7,1000,500,Chandraprakash Padiyar,Income
HSBC Opportunities Mid Cap Scheme - Direct Plan - IDCW,HSBC Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,32.39,25.2,30.1,1.17,378.72,3506.61,19.2,1000,10000,Shreyash Devalkar,Blend
HSBC Regular Savings Conservative Hybrid Plan - Regular Plan - IDCW,HSBC Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,3,10.17,10.22,9.84,1.07,368.92,22670.03,14.0,100,1000,Nimesh Chandan,Value
JM Financial IT Sectoral Fund - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Sectoral,IT,High,2,8.43,8.61,11.84,1.06,421.93,354.33,28.8,500,5000,Atul Kumar,Passive
Mahindra Manulife Income Conservative Hybrid Plan - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,1,9.07,5.55,4.03,1.49,247.5,704.0,7.5,2000,5000,Taher Badshah,Active
Franklin Templeton Low Duration Short Duration Plan - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,2,2.42,7.34,9.43,0.24,735.8,13.06,29.2,500,10000,S. Nagnath,Value
SBI Nifty Next 50 Index Fund Scheme - Direct Plan - IDCW,SBI Mutual Fund,Other,Index Fund,Nifty Next 50,Moderate,4,11.13,17.1,17.16,0.31,415.44,500.37,17.3,500,25000,Swarup Mohanty,Active
Mahindra Manulife Bluechip Large Cap Scheme - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,4,25.62,22.22,18.37,1.16,458.14,462.66,19.0,2000,10000,Sailesh Raj Bhan,Growth
Mahindra Manulife Infrastructure Sectoral Scheme - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Sectoral,Infrastructure,Very High,5,25.64,21.27,23.33,0.74,476.22,1603.23,29.1,100,1000,Divam Sharma,Blend
UTI Consumption Sectoral Scheme - Direct Plan - IDCW,UTI Mutual Fund,Equity,Sectoral,Consumption,High,5,37.65,34.41,,1.06,236.01,748.77,2.4,500,10000,Anish Tawakley,Passive
Invesco Low Duration Short Duration Plan - Regular Plan - IDCW,Invesco Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,2,9.25,4.5,5.92,0.72,629.59,3311.83,3.8,1500,10000,Anish Tawakley,Active
Kotak Mahindra Bluechip Large Cap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,3,,23.49,28.21,1.4,20.28,2080.73,26.0,500,5000,Chirag Setalvad,Growth
Parag Parikh Money Market Short Duration Scheme - Direct Plan - IDCW,Parag Parikh Mutual Fund,Debt,Short Duration,Money Market,Low,2,2.78,5.16,3.59,0.4,200.38,410.82,18.5,500,5000,Rohit Singhania,Active
Parag Parikh Gift Children's Fund Fund - Regular Plan - IDCW,Parag Parikh Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,3,5.37,10.38,13.77,1.22,745.22,783.4,16.5,2000,10000,Prashant Jain,Passive
